sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
It is excellent in every way . The colored speed is high compared to the competitors . The black and white speed is within the lease . The quality is exceptional . Be confident that you won ' t regret buying it .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'is', 'excellent', 'in', 'every', 'way', '.', 'The', 'colored', 'speed', 'is', 'high', 'compared', 'to', 'the', 'competitors', '.', 'The', 'black', 'and', 'white', 'speed', 'is', 'within', 'the', 'lease', '.', 'The', 'quality', 'is', 'exceptional', '.', 'Be', 'confident', 'that', 'you', 'won', ""'"", 't', 'regret', 'buying', 'it', '.']",['speed'],[[9]],['Positive'],"[[0.01241900585591793, 0.0002811552258208394, 0.9872998595237732]]",[0.9873]
"Considering all of the features , this device has two months of battery life . It charges quickly and retains a 2 % charge throughout the night . The battery is in good condition and charging is well maintained . Given the price and features , this is the best option available . Please compare it to other brands as well , as some brands only charge for the brand name and have no actual functionality .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Considering', 'all', 'of', 'the', 'features', ',', 'this', 'device', 'has', 'two', 'months', 'of', 'battery', 'life', '.', 'It', 'charges', 'quickly', 'and', 'retains', 'a', '2', '%', 'charge', 'throughout', 'the', 'night', '.', 'The', 'battery', 'is', 'in', 'good', 'condition', 'and', 'charging', 'is', 'well', 'maintained', '.', 'Given', 'the', 'price', 'and', 'features', ',', 'this', 'is', 'the', 'best', 'option', 'available', '.', 'Please', 'compare', 'it', 'to', 'other', 'brands', 'as', 'well', ',', 'as', 'some', 'brands', 'only', 'charge', 'for', 'the', 'brand', 'name', 'and', 'have', 'no', 'actual', 'functionality', '.']","['battery life', 'charges', 'battery', 'charging', 'price']","[[12, 13], [16], [29], [35], [42]]","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","[[0.0002930419286713004, 0.00042401187238283455, 0.9992830157279968], [0.0006533344276249409, 0.00040633519529365003, 0.9989404082298279], [0.0005716665764339268, 0.000482902949443087, 0.998945415019989], [0.0005148278432898223, 0.00040430098306387663, 0.9990807771682739], [0.000684948347043246, 0.0002663601189851761, 0.99904865026474]]","[0.9993, 0.9989, 0.9989, 0.9991, 0.999]"
Kabul is good from every perspective .,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['Kabul', 'is', 'good', 'from', 'every', 'perspective', '.']",[],[],[],[],[]
"It was good from every aspect . The quality was very good . It just didn ' t work to charge the socket on the phone . The phone has a C5 port and supports fast charging . But with fast charging , it charged very slowly . Usually , it charges faster than other chargers I ' ve seen both online and in stores . This quality is very good . I was able to charge three phones without any problems . But fast charging doesn ' t work . It charges like a normal charger . I need to test it on other phones to see if it works properly .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'was', 'good', 'from', 'every', 'aspect', '.', 'The', 'quality', 'was', 'very', 'good', '.', 'It', 'just', 'didn', ""'"", 't', 'work', 'to', 'charge', 'the', 'socket', 'on', 'the', 'phone', '.', 'The', 'phone', 'has', 'a', 'C5', 'port', 'and', 'supports', 'fast', 'charging', '.', 'But', 'with', 'fast', 'charging', ',', 'it', 'charged', 'very', 'slowly', '.', 'Usually', ',', 'it', 'charges', 'faster', 'than', 'other', 'chargers', 'I', ""'"", 've', 'seen', 'both', 'online', 'and', 'in', 'stores', '.', 'This', 'quality', 'is', 'very', 'good', '.', 'I', 'was', 'able', 'to', 'charge', 'three', 'phones', 'without', 'any', 'problems', '.', 'But', 'fast', 'charging', 'doesn', ""'"", 't', 'work', '.', 'It', 'charges', 'like', 'a', 'normal', 'charger', '.', 'I', 'need', 'to', 'test', 'it', 'on', 'other', 'phones', 'to', 'see', 'if', 'it', 'works', 'properly', '.']","['quality', 'port', 'fast charging']","[[8], [32], [84, 85]]","['Negative', 'Negative', 'Positive']","[[0.560893714427948, 0.0007330527878366411, 0.43837329745292664], [0.5069912672042847, 0.002403107238933444, 0.4906056225299835], [0.44135746359825134, 0.0020966921001672745, 0.5565457940101624]]","[0.5609, 0.507, 0.5565]"
"I am satisfied with all aspects . Your performance is exceptional , especially regarding my long - held desire for a camera that offers both quality and portability . Your many features are impressive , and I have yet to discover many of them in these few days . There is a 225 - page PDF guide available for download , which I recommend .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'am', 'satisfied', 'with', 'all', 'aspects', '.', 'Your', 'performance', 'is', 'exceptional', ',', 'especially', 'regarding', 'my', 'long', '-', 'held', 'desire', 'for', 'a', 'camera', 'that', 'offers', 'both', 'quality', 'and', 'portability', '.', 'Your', 'many', 'features', 'are', 'impressive', ',', 'and', 'I', 'have', 'yet', 'to', 'discover', 'many', 'of', 'them', 'in', 'these', 'few', 'days', '.', 'There', 'is', 'a', '225', '-', 'page', 'PDF', 'guide', 'available', 'for', 'download', ',', 'which', 'I', 'recommend', '.']","['performance', 'portability', 'features']","[[8], [27], [31]]","['Positive', 'Positive', 'Positive']","[[0.00046047111391089857, 0.00023596431128680706, 0.9993035793304443], [0.0003733354387804866, 0.0002690281835384667, 0.9993576407432556], [0.0004495606117416173, 0.00024322967510670424, 0.9993071556091309]]","[0.9993, 0.9994, 0.9993]"
"The camera and its settings are excellent ! Why ? Because the photography technique for this mobile is different . To take good pictures , you need to focus on the subject , then press the shutter button without shaking the camera . Enjoy photography ! Regarding the hardware , it ' s flawless and in the same league as the high - end models . I highly recommend it ( I made a mistake in my previous evaluation and rated the value for money average , but in reality , it ' s much better ! ) .","['O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'camera', 'and', 'its', 'settings', 'are', 'excellent', '!', 'Why', '?', 'Because', 'the', 'photography', 'technique', 'for', 'this', 'mobile', 'is', 'different', '.', 'To', 'take', 'good', 'pictures', ',', 'you', 'need', 'to', 'focus', 'on', 'the', 'subject', ',', 'then', 'press', 'the', 'shutter', 'button', 'without', 'shaking', 'the', 'camera', '.', 'Enjoy', 'photography', '!', 'Regarding', 'the', 'hardware', ',', 'it', ""'"", 's', 'flawless', 'and', 'in', 'the', 'same', 'league', 'as', 'the', 'high', '-', 'end', 'models', '.', 'I', 'highly', 'recommend', 'it', '(', 'I', 'made', 'a', 'mistake', 'in', 'my', 'previous', 'evaluation', 'and', 'rated', 'the', 'value', 'for', 'money', 'average', ',', 'but', 'in', 'reality', ',', 'it', ""'"", 's', 'much', 'better', '!', ')', '.']","['camera', 'settings', 'hardware']","[[1], [4], [48]]","['Positive', 'Positive', 'Positive']","[[0.0008389827562496066, 0.0002539811539463699, 0.9989069700241089], [0.0007289191125892103, 0.0002521828864701092, 0.9990187883377075], [0.00024987681536003947, 0.00036432320484891534, 0.9993858337402344]]","[0.9989, 0.999, 0.9994]"
You are the best of all . I am confident that you will not regret buying from me .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['You', 'are', 'the', 'best', 'of', 'all', '.', 'I', 'am', 'confident', 'that', 'you', 'will', 'not', 'regret', 'buying', 'from', 'me', '.']",[],[],[],[],[]
"From every perspective , it ' s a great phone . I recommend you buy it .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['From', 'every', 'perspective', ',', 'it', ""'"", 's', 'a', 'great', 'phone', '.', 'I', 'recommend', 'you', 'buy', 'it', '.']",['phone'],[[9]],['Positive'],"[[0.00048766896361485124, 0.000190788836334832, 0.999321460723877]]",[0.9993]
"Everything is perfect from every perspective . There is no problem at all . Until a few days ago , an update came out and there is a problem in some cases . But God willing , it will be fixed in the next update .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Everything', 'is', 'perfect', 'from', 'every', 'perspective', '.', 'There', 'is', 'no', 'problem', 'at', 'all', '.', 'Until', 'a', 'few', 'days', 'ago', ',', 'an', 'update', 'came', 'out', 'and', 'there', 'is', 'a', 'problem', 'in', 'some', 'cases', '.', 'But', 'God', 'willing', ',', 'it', 'will', 'be', 'fixed', 'in', 'the', 'next', 'update', '.']",['update'],[[21]],['Negative'],"[[0.9709998965263367, 0.02764715440571308, 0.0013529566349461675]]",[0.971]
Everything is good for now .,"['O', 'O', 'O', 'O', 'O', 'O']","['Everything', 'is', 'good', 'for', 'now', '.']",[],[],[],[],[]
"All cars in this vicinity are more expensive and complete . The gas pedal reacts with a slight delay . In my opinion , its fuel tank capacity is low considering its consumption .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['All', 'cars', 'in', 'this', 'vicinity', 'are', 'more', 'expensive', 'and', 'complete', '.', 'The', 'gas', 'pedal', 'reacts', 'with', 'a', 'slight', 'delay', '.', 'In', 'my', 'opinion', ',', 'its', 'fuel', 'tank', 'capacity', 'is', 'low', 'considering', 'its', 'consumption', '.']","['gas pedal', 'fuel tank capacity']","[[12, 13], [25, 26, 27]]","['Negative', 'Negative']","[[0.9981042146682739, 0.0015891098883002996, 0.0003066579229198396], [0.9973236322402954, 0.0025185926351696253, 0.00015779206296429038]]","[0.9981, 0.9973]"
"Considering everything , from my perspective , it ' s excellent . With those who intend to take action against me , their charging speed is average , but they drain quickly . I suggest you reconsider .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Considering', 'everything', ',', 'from', 'my', 'perspective', ',', 'it', ""'"", 's', 'excellent', '.', 'With', 'those', 'who', 'intend', 'to', 'take', 'action', 'against', 'me', ',', 'their', 'charging', 'speed', 'is', 'average', ',', 'but', 'they', 'drain', 'quickly', '.', 'I', 'suggest', 'you', 'reconsider', '.']",['charging speed'],"[[23, 24]]",['Negative'],"[[0.9436054229736328, 0.05393492802977562, 0.0024596573784947395]]",[0.9436]
From the first day I had problems with it . The battery drains very quickly and the camera quality is unacceptable . The hardware is weak and many features don ' t work . I ' ve been dealing with this for three months but nothing has changed . I ' m disappointed in Sony and Digicel for selling such a low - quality product .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['From', 'the', 'first', 'day', 'I', 'had', 'problems', 'with', 'it', '.', 'The', 'battery', 'drains', 'very', 'quickly', 'and', 'the', 'camera', 'quality', 'is', 'unacceptable', '.', 'The', 'hardware', 'is', 'weak', 'and', 'many', 'features', 'don', ""'"", 't', 'work', '.', 'I', ""'"", 've', 'been', 'dealing', 'with', 'this', 'for', 'three', 'months', 'but', 'nothing', 'has', 'changed', '.', 'I', ""'"", 'm', 'disappointed', 'in', 'Sony', 'and', 'Digicel', 'for', 'selling', 'such', 'a', 'low', '-', 'quality', 'product', '.']","['battery', 'camera quality', 'hardware']","[[11], [17, 18], [23]]","['Negative', 'Negative', 'Negative']","[[0.9985067248344421, 0.0011898584198206663, 0.00030337204225361347], [0.9989686012268066, 0.000813563761767, 0.00021776341600343585], [0.9980280995368958, 0.0017181088915094733, 0.000253793055890128]]","[0.9985, 0.999, 0.998]"
"The processor is no better than the other hardware except for the larger screen . If screen size isn ' t important to you , the a5 is also more comfortable and cheaper .","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'processor', 'is', 'no', 'better', 'than', 'the', 'other', 'hardware', 'except', 'for', 'the', 'larger', 'screen', '.', 'If', 'screen', 'size', 'isn', ""'"", 't', 'important', 'to', 'you', ',', 'the', 'a5', 'is', 'also', 'more', 'comfortable', 'and', 'cheaper', '.']","['processor', 'hardware', 'screen', 'screen size']","[[1], [8], [13], [16, 17]]","['Neutral', 'Neutral', 'Positive', 'Neutral']","[[0.43312281370162964, 0.5665125250816345, 0.00036467512836679816], [0.020037231966853142, 0.9774699211120605, 0.002492869971320033], [0.0047918022610247135, 0.010652315802872181, 0.9845558404922485], [0.002080416539683938, 0.769264817237854, 0.22865478694438934]]","[0.5665, 0.9775, 0.9846, 0.7693]"
The quality of cable construction is shocking . You can ' t believe it until you see it up close . # Your opinion matters .,"['O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'quality', 'of', 'cable', 'construction', 'is', 'shocking', '.', 'You', 'can', ""'"", 't', 'believe', 'it', 'until', 'you', 'see', 'it', 'up', 'close', '.', '#', 'Your', 'opinion', 'matters', '.']",['cable construction'],"[[3, 4]]",['Negative'],"[[0.981908917427063, 0.00044932987657375634, 0.017641715705394745]]",[0.9819]
"I am grateful for the quality and services of Digitalica . When I opened the cartoon , I was delighted to see the beautiful design . The black and white combination creates a very stylish look . The back of the tablet has a non - detachable fabric that feels high - quality and durable . The tablet itself is quite stylish and robust . The screen quality is exceptional for this price range . The speed is good , the graphics are excellent and the battery lasts for a long time even with intensive and continuous use for about half a day . Overall , this tablet is excellent .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'am', 'grateful', 'for', 'the', 'quality', 'and', 'services', 'of', 'Digitalica', '.', 'When', 'I', 'opened', 'the', 'cartoon', ',', 'I', 'was', 'delighted', 'to', 'see', 'the', 'beautiful', 'design', '.', 'The', 'black', 'and', 'white', 'combination', 'creates', 'a', 'very', 'stylish', 'look', '.', 'The', 'back', 'of', 'the', 'tablet', 'has', 'a', 'non', '-', 'detachable', 'fabric', 'that', 'feels', 'high', '-', 'quality', 'and', 'durable', '.', 'The', 'tablet', 'itself', 'is', 'quite', 'stylish', 'and', 'robust', '.', 'The', 'screen', 'quality', 'is', 'exceptional', 'for', 'this', 'price', 'range', '.', 'The', 'speed', 'is', 'good', ',', 'the', 'graphics', 'are', 'excellent', 'and', 'the', 'battery', 'lasts', 'for', 'a', 'long', 'time', 'even', 'with', 'intensive', 'and', 'continuous', 'use', 'for', 'about', 'half', 'a', 'day', '.', 'Overall', ',', 'this', 'tablet', 'is', 'excellent', '.']","['design', 'screen quality', 'speed', 'graphics', 'battery']","[[24], [66, 67], [76], [81], [86]]","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","[[0.00046369872870855033, 0.00027161321486346424, 0.999264657497406], [0.00023250818776432425, 0.0003264460538048297, 0.9994409680366516], [0.00029128571623004973, 0.00036188142257742584, 0.9993467926979065], [0.00026915015769191086, 0.0003939643211197108, 0.9993368983268738], [0.00023421789228450507, 0.0005037056980654597, 0.9992620348930359]]","[0.9993, 0.9994, 0.9993, 0.9993, 0.9993]"
"I ' m satisfied with this price . It ' s the best option . Maybe the paper is a bit thicker than usual , but overall the printer is good . The print quality is high , especially for photos . I recommend it .","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', ""'"", 'm', 'satisfied', 'with', 'this', 'price', '.', 'It', ""'"", 's', 'the', 'best', 'option', '.', 'Maybe', 'the', 'paper', 'is', 'a', 'bit', 'thicker', 'than', 'usual', ',', 'but', 'overall', 'the', 'printer', 'is', 'good', '.', 'The', 'print', 'quality', 'is', 'high', ',', 'especially', 'for', 'photos', '.', 'I', 'recommend', 'it', '.']","['price', 'paper', 'printer', 'print quality']","[[6], [17], [28], [33, 34]]","['Positive', 'Negative', 'Positive', 'Positive']","[[0.007754512131214142, 0.00021152551926206797, 0.9920338988304138], [0.984066367149353, 0.014798960648477077, 0.001134581514634192], [0.11033902317285538, 0.0008316967869177461, 0.8888293504714966], [0.005520668346434832, 0.00019878831517416984, 0.9942805767059326]]","[0.992, 0.9841, 0.8888, 0.9943]"
I am satisfied with the volume and quality . Please suggest something .,"['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']","['I', 'am', 'satisfied', 'with', 'the', 'volume', 'and', 'quality', '.', 'Please', 'suggest', 'something', '.']","['volume', 'quality']","[[5], [7]]","['Positive', 'Positive']","[[0.00023452163441106677, 0.0002547707117628306, 0.9995107650756836], [0.00016402221808675677, 0.00036626533255912364, 0.9994696974754333]]","[0.9995, 0.9995]"
"Given the current situation , lavender isn ' t available in Russia at the moment , but we also have bad coffee available at an average level . As an alternative , we offer lavender at a lower price with better quality .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['Given', 'the', 'current', 'situation', ',', 'lavender', 'isn', ""'"", 't', 'available', 'in', 'Russia', 'at', 'the', 'moment', ',', 'but', 'we', 'also', 'have', 'bad', 'coffee', 'available', 'at', 'an', 'average', 'level', '.', 'As', 'an', 'alternative', ',', 'we', 'offer', 'lavender', 'at', 'a', 'lower', 'price', 'with', 'better', 'quality', '.']","['coffee', 'price']","[[21], [38]]","['Negative', 'Positive']","[[0.9979231953620911, 0.001812169561162591, 0.0002647473884280771], [0.00019727028848137707, 0.0034833180252462626, 0.9963194131851196]]","[0.9979, 0.9963]"
"From every perspective , wherever you are in the house , you don ' t need any design . Its large sound volume allows you to comfortably spread the sound across a large area with clear audio . In the house , you can be sure that from bass and treble to the surrounding sound , it is comparable to other brands and is considered a premium product in the market alongside renowned brands like Benz and BMW cars , and many flagship laptops .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['From', 'every', 'perspective', ',', 'wherever', 'you', 'are', 'in', 'the', 'house', ',', 'you', 'don', ""'"", 't', 'need', 'any', 'design', '.', 'Its', 'large', 'sound', 'volume', 'allows', 'you', 'to', 'comfortably', 'spread', 'the', 'sound', 'across', 'a', 'large', 'area', 'with', 'clear', 'audio', '.', 'In', 'the', 'house', ',', 'you', 'can', 'be', 'sure', 'that', 'from', 'bass', 'and', 'treble', 'to', 'the', 'surrounding', 'sound', ',', 'it', 'is', 'comparable', 'to', 'other', 'brands', 'and', 'is', 'considered', 'a', 'premium', 'product', 'in', 'the', 'market', 'alongside', 'renowned', 'brands', 'like', 'Benz', 'and', 'BMW', 'cars', ',', 'and', 'many', 'flagship', 'laptops', '.']","['sound volume', 'bass', 'treble']","[[21, 22], [48], [50]]","['Positive', 'Positive', 'Positive']","[[0.00039662900962866843, 0.00023225258337333798, 0.9993711113929749], [0.0003209726419299841, 0.00045841524843126535, 0.999220609664917], [0.0003184607776347548, 0.0004649304028134793, 0.9992165565490723]]","[0.9994, 0.9992, 0.9992]"
"From every perspective , what you said is better . From my perspective , the best thing is that I have a black camera body . The actual cameras have excellent handling and a great user interface .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O']","['From', 'every', 'perspective', ',', 'what', 'you', 'said', 'is', 'better', '.', 'From', 'my', 'perspective', ',', 'the', 'best', 'thing', 'is', 'that', 'I', 'have', 'a', 'black', 'camera', 'body', '.', 'The', 'actual', 'cameras', 'have', 'excellent', 'handling', 'and', 'a', 'great', 'user', 'interface', '.']","['camera body', 'cameras', 'handling', 'user interface']","[[23, 24], [28], [31], [35, 36]]","['Positive', 'Positive', 'Positive', 'Positive']","[[0.000283255911199376, 0.00023632071679458022, 0.9994805455207825], [0.00021619525796268135, 0.0002733407309278846, 0.9995105266571045], [0.0002185889461543411, 0.0002595325349830091, 0.9995218515396118], [0.00023519343812949955, 0.00023748788225930184, 0.9995273351669312]]","[0.9995, 0.9995, 0.9995, 0.9995]"
You can now choose a better candidate with one more coin .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['You', 'can', 'now', 'choose', 'a', 'better', 'candidate', 'with', 'one', 'more', 'coin', '.']",[],[],[],[],[]
You must be suspicious of her intentions given that she bought all this equipment without any prior planning . Her voice and charging are above average .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['You', 'must', 'be', 'suspicious', 'of', 'her', 'intentions', 'given', 'that', 'she', 'bought', 'all', 'this', 'equipment', 'without', 'any', 'prior', 'planning', '.', 'Her', 'voice', 'and', 'charging', 'are', 'above', 'average', '.']","['voice', 'charging']","[[20], [22]]","['Positive', 'Positive']","[[0.0043433899991214275, 0.0003435910912230611, 0.9953129291534424], [0.014013160020112991, 0.0003857153933495283, 0.9856011271476746]]","[0.9953, 0.9856]"
I bought two items from the bazaar today . I gave one as a gift and kept one for myself . Now I ' m listening to music with it . I ' m very happy .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I', 'bought', 'two', 'items', 'from', 'the', 'bazaar', 'today', '.', 'I', 'gave', 'one', 'as', 'a', 'gift', 'and', 'kept', 'one', 'for', 'myself', '.', 'Now', 'I', ""'"", 'm', 'listening', 'to', 'music', 'with', 'it', '.', 'I', ""'"", 'm', 'very', 'happy', '.']",[],[],[],[],[]
